水泥品种,水泥强度,粉煤灰种类-依据地区,混凝土级配,水灰比,水泥用量（kg/m3）,粉煤灰掺量（%）,砂率,减水剂种类,减水剂掺量（%）,引气剂种类,引气剂掺量（%）,混凝土温度,R28（已整合）
3,42.5,18,3,0.55,103,68,31,4,0.6,1,1.5,10,18.2
3,52.5,11,4,0.55,98,40,29,10,0.7,2,0.75,12,18.3
3,52.5,11,4,0.55,92,61,27,2,0.6,2,0.7,12.5,18.3
3,52.5,16,4,0.5,114,62,26,10,0.5,2,1,12,18.3
3,52.5,18,3,0.5,75,91,34,2,0.6,1,0.7,12.5,18.3
3,42.5,15,4,0.55,94,63,28,10,0.6,2,0.8,8,18.3
3,42.5,7,3,0.48,146,63,30,4,0.6,1,3.5,7,18.3
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,15,18.3
3,42.5,15,3,0.55,111,74,31,10,0.6,1,1.5,8,18.3
3,42.5,17,4,0.55,92,61,27,4,0.6,1,3.5,8,18.3
3,52.5,14,3,0.55,128,35,33,10,0.6,2,0.52,5.5,18.4
3,52.5,16,2,0.55,136,91,37,10,0.6,2,0.8,14.5,18.4
3,52.5,18,3,0.5,75,91,34,2,0.6,1,7,14.5,18.4
3,42.5,17,3,0.55,108,72,34,4,0.6,1,4,12.5,18.4
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.5,12,18.4
3,42.5,18,3,0.55,108,72,34,4,0.6,1,3.2,6,18.4
3,42.5,17,4,0.5,111,60,26,4,0.6,1,3.5,5,18.4
3,42.5,15,2,0.48,174,74,35,10,0.6,1,3.5,13,18.4
3,42.5,15,4,0.55,94,63,28,10,0.6,2,0.9,8.5,18.4
3,42.5,15,3,0.55,111,74,31,10,0.6,2,0.6,11,18.4
3,42.5,15,3,0.55,107,71,31,10,0.6,1,1.1,9,18.4
3,42.5,18,3,0.48,140,60,30,4,0.6,1,2.5,10,18.4
3,42.5,17,4,0.55,92,61,27,4,0.6,1,2.5,10,18.4
3,42.5,15,4,0.48,128,55,27,10,0.6,1,1.5,14,18.4
3,52.5,14,4,0.55,96,30,27,10,0.6,2,0.8,5.8,18.5
3,52.5,13,4,0.55,98,40,29,10,0.7,2,0.75,7.8,18.5
